index,exhibitor_name,exhibitor_description,event_days,exhibitor_logo,exhibitor_photo,x_link,instagram_link,youtube_link,website_link,booth,circle_booth_title,circle_booth_location,circle_booth_date
19,東京科学大学裏千家茶道部,裏千家茶道部では毎週、外部から先生をお招きして茶道のお稽古を行っています。 長く続けられる趣味が欲しい方、ゆっくりとした時間を過ごしたい方、是非お気軽にお声がけください！お待ちしています！,4/11,https://drive.google.com/open?id=1crXL9KujEIhyA9giK6BtvuSpIU6ACHMh,https://drive.google.com/open?id=1rFwyPqoFO25acsvgB4VqUUZoSoSOf8b2,https://x.com/titechsadou,https://www.instagram.com/tokodaisado,,https://sites.google.com/site/tokyotechsadou/,"サークルブース,ワークショップ",裏千家茶道部体験会・相談会,8,4/11
20,東京科学大学混声合唱団コール・クライネス,東京科学大・日本女子大・清泉女子大などの学生からなる総勢100名規模の合唱団です！昨年は全日本合唱コンクール全国大会で金賞を受賞しました！初心者大歓迎♪一緒に音楽を楽しみ、沢山の思い出を作りましょう！,"4/10, 4/11",https://drive.google.com/open?id=1xFci_mM_hSFcw8ZPsxBXWTe17x8ARtcK,https://drive.google.com/open?id=127E3ZAyjIvhnY_STcLhOGzaIMQn4yOR1,https://x.com/chorkleines_wlc,https://www.instagram.com/chorkleines_wlc,http://www.youtube.com/@chor-kleines,https://www.chorkleines.com/,"サークルブース,ステージ企画",仮タイトル,4,"4/10,4/11"
21,工大祭実行委員会,"工大祭実行委員会は、毎年秋に行われる学園祭「工大祭」の準備や運営を行なっています！ステージ運営や資金集め、デザインなど様々な活動をしているので、きっと自分に合った活動が見つかるはず…！
また、年2回の全体での旅行をはじめ、部署ごとの旅行や遊び、ごはん会などのイベントが多く、メンバー同士の仲がいいのも特長です！
一緒に新しい工大祭を創りましょう！待ってます〜",4/11,https://drive.google.com/open?id=1oCnk13Hdlhm9NTp3eu8z3JjJ3Exlhydg,https://drive.google.com/open?id=1WgRvWlx8Di-qm8Lghs6zMt2-FN9LLxVO,https://x.com/jizi_koudaisai,https://www.instagram.com/jizi_koudaisai/,https://www.youtube.com/channel/UCPb33qE0hjNqtr1kfihfhng,https://jizi.jp/,サークルブース,What's jizi,19,4/11
22,心身統一合氣道部,心身統一合氣道は「心と体の使い方」を学ぶ武道です。同期や先輩後輩、さらには師範やOB・OGの方々と稽古に勤しんでいます！身体を動かしたい方、武道に興味のある方大歓迎です！,4/11,https://drive.google.com/open?id=1CprDjb2tHWYSk1-hLxxRCWtMuh_79GkX,https://drive.google.com/open?id=1q0S2cmrMCrSSmQz2fx27Pj788_UJaz6i,https://x.com/tokyotechaikido,https://www.instagram.com/aikido_tokyotech,,https://tokyotech-aikido.studio.site/,"サークルブース,ステージ企画",仮タイトル,14,4/11
23,科学大アカペラサークルあじわい,東京科学大学(旧東京工業大学)唯一の公認アカペラサークルです！2013年創設、現在13年目です。音楽未経験の方や他大生も多く所属しています！,4/10,https://drive.google.com/open?id=1lMmCCY2ODa-MxArRZ-ifL_8k983jhTLs,https://drive.google.com/open?id=1_3zIcVzR0ta0acYRG_Xgodz2aT7AgJ6Y,https://x.com/Toko_a_cappella,https://www.instagram.com/titechajy,https://youtube.com/channel/UCgcJWQuacXZsXoUMaoPgoQw?si=uunZ4qqjwnZM5cSZ,https://titechajy.jimdofree.com/,ステージ企画,,,
24,アニメーション研究会,アニメ研では、自主制作のアニメーションを作っています！キャラを描いたり、色を塗ったり、撮影で合成したり、皆で作業を繋いで一つの動画にしていきます。少しでも興味があれば遊びに来てね！,4/11,https://drive.google.com/open?id=1B-j7_X_HvHSrYRjE6tAHbCqCTb76VmN_,https://drive.google.com/open?id=1aH2Wya7me136-dIpxK2QubnjP72JyzNB,https://x.com/titech_animeken,,https://www.youtube.com/channel/UCo0e2tv6k3gVVV6BDFc1IMQ,,"サークルブース,ワークショップ",アニメ制作って実際何するの？,9,4/11
25,オリエンテーリング部,"地図とコンパスを頼りに自然の中を駆け巡る！隠されたポイントを頭を使って探し出す爽快感は格別です。
ほぼ全員が大学からのスタートです。あなたも自然に囲まれる非日常な冒険をしませんか？体験会、来てください！",4/11,https://drive.google.com/open?id=12rM_VY4Fy_OtKNGLYR1JmFzMR99htk49,https://drive.google.com/open?id=18g0I_t6mmQHjosyg6FKFH3ka6ZH6HD3G,https://x.com/olt_shinkan,https://www.instagram.com/scitokyo_olt,,https://olt.main.jp/,"サークルブース,ステージ企画",オリエンって何ですか？,13,4/11
26,水泳部,こんにちは!水泳部です‼︎体育館横のプールで活動しています🏊‍♂️🏊‍♀️経験者も初心者も大歓迎！！マネージャー大募集中です！他大との交流もあり和気あいあいとしています。なんと水球もできます🤽‍♂️✨,4/10,https://drive.google.com/open?id=1udj6Xmt4ub1AcJxGt_gi6Nm0QkybkyQ4,https://drive.google.com/open?id=1SajhBS4aj2t-jAR_7ruySna2EQ9eEHTK,https://x.com/STswim_2026,https://www.instagram.com/isct.swim.2026,,http://titswim.web.fc2.com/about.html,サークルブース,水泳部と話そう,19,4/10
27,鉄道研究部,鉄道研究部は夏休みに地方私鉄で貸切列車を走らせたり、工大祭で鉄道模型ジオラマ展示をしたり、その他にも多種多様な活動をしています。鉄道に少しでも興味がある方は、ぜひ一度見に来てください！,4/10,https://drive.google.com/open?id=1fYB2pIgk8CDIuIYpkJj7MaRNTB1QBtd3,https://drive.google.com/open?id=1pMiVf5K7y6jPkAxU8lRkthQf1aFrpGwL,https://x.com/titechrail,,,https://titrail.sakura.ne.jp/,サークルブース,鉄道研究部,14,4/10
28,ギター研究会,週1回、クラシックギターをマイペースに練習しています。年2回の演奏会での発表に加え、合宿や飲み会などの行事も活発です。無理なく続けられる、仲の良い雰囲気が特徴です。,4/10,https://drive.google.com/open?id=1ClNhlQqDTMzj0ZuhlOfxpz9eHBlxLVCH,https://drive.google.com/open?id=1qYpWu-UjirwJ_hm1uifKbI_GLyzQf1PD,https://x.com/gitakenbushitsu,https://instagram.com/gitakenbushitsu/,https://youtube.com/channel/UCSPn3ifOw_Rp5xcBGU_1WvA?si=NF-9ZkETXSBsl97L,https://gitakenbushitsu.wixsite.com/gitaken,サークルブース,クラッシックギター体験会,2,4/10
29,天文研究部,天文研究部では月一回の遠征や春・夏の合宿で星の観測・撮影を行うほか、工大祭で展示する大学サークル最大規模のプラネタリウム製作もしています。星に興味がある方、綺麗な星空が見たい方は是非見に来てください！,4/10,https://drive.google.com/open?id=1jisI8j5nfA7d6o569j-mgCJP2eAIM3w2,https://drive.google.com/open?id=1fn31qPocOwZwru7nlrsviMXocctcsLnm,https://x.com/astro_titech,https://www.instagram.com/astro_titech,,https://titastro.web.fc2.com/index.html,サークルブース,天文研究部 活動紹介ブース,9,4/10
30,東京科学大学レゴ同好会,レゴ同好会は毎週水曜の午後に活動しています。部費は0円で「取り敢えず何かサークルに入りたい」という人にもお勧めです。工大祭でレゴを展示したり、小学校や公民館などでレゴの講座を開いたりしています。,4/10,https://drive.google.com/open?id=1uEUUGOg9kBJsdPuy6geiH0WsD0a0H8u_,https://drive.google.com/open?id=1Ku6WH_KGGDvFIkaMR_p4ozd4vzmFhtG6,https://x.com/titech0505,,,,"サークルブース,ワークショップ",仮タイトル,10,4/10
31,フェンシング部,"アットホーム
初心者大歓迎
他の部活サークルと両立がしやすい
自由な空間
大会運営や工大祭の経験

活動日、活動場所、種目


フェンシング部は月曜と水曜(時々土日も)に体育館で、アットホームで自由な雰囲気の中活動しています。大会では全国の大学が集まり、東工大でも年に2回大会を運営しています。初心者経験者問わず大歓迎です！",4/11,https://drive.google.com/open?id=17lZnqoQ_BdmCmc-BLgxIDFpQO8KbNjCN,https://drive.google.com/open?id=10I13CxY1Yu3T0j01XU7UFLvBQd4Oyesc,https://x.com/scitokyo_fen,https://www.instagram.com/sciencetokyo_fencing,,,サークルブース,フェンシング体験,6,4/11
32,自動車部,普段から運転練習と整備・ものつくりを行っています。ドライブや旅行など自動車での活動はとても充実しています！車好きはもちろん、動くものを創りたい人、頭脳系スポーツやツーリングに興味がある人募集中です！,4/10,https://drive.google.com/open?id=10KRC6y0gx57tzl0e8LeegtvPKxnCgcfs,https://drive.google.com/open?id=1eiSpfJtI96zB-uHEhaJ5WaXP3vxk_ZrR,https://x.com/sciencetokyoac,,,https://www.isctac.jp/,サークルブース,自動車部活動紹介,17,4/10
33,アメリカンフットボール部,我々科学大アメフト部は現在関東2部リーグに所属しており、1部昇格という大きな目標に向け日々鍛錬を重ねています！今年こそ目標を達成するために共に戦う仲間を探しています。皆さんを心からお待ちしております。,"4/10, 4/11",https://drive.google.com/open?id=1_4NoLz1h0sYiPhoqgEIxKfhkiG0JNgOs,,,https://www.instagram.com/buffs.shinkan.2026,,https://titech-buffaloes.com/,"サークルブース, ステージ企画",仮タイトル,15,"4/10,4/11"
34,ロック研究会,ロック、メタルを中心に様々な音楽を演奏します。,4/10,https://drive.google.com/file/d/143pEgrNSxepCVHVyzwZ5UiY1kRCB3kTb/view?usp=sharing,,,,,,ステージ企画,,,
35,ラグビー部,"未経験から始めた部員も多く、これまでの運動経験を活かして、新しい競技に挑戦できます。
関東大学リーグ3部に所属し、競技力向上に本気で取り組みながらも、部員同士の距離が近く挑戦しやすい雰囲気が魅力です。","4/10, 4/11",https://drive.google.com/open?id=1x8gTP4J-wEpxVMdMIJk7R6zAUFdzFIo4,https://drive.google.com/open?id=1Qd5-hqrlhDY9AZlFNTClf0QN3x8Ean7g,https://x.com/scitokyo_rfc,https://www.instagram.com/scitokyo_rfc_2025,,https://sciencetokyo-rfc.site/,サークルブース,ラグビー部活動紹介,3,"4/10,4/11"
36,科学大お笑いサークルオゾン,科学大お笑いサークルオゾンです。大喜利会や部内のネタ見せ、隔月ごとの定期ライブを主な活動内容としています。Xに大喜利回答のハイライトを載せていますのでぜひご覧ください！,4/10,https://drive.google.com/open?id=1jcXZMPUHG_FDi_bFNOGb2415JbJCquCN,,https://x.com/SciTokyo_ozone,https://www.instagram.com/tit_shochiku,,,サークルブース,仮タイトル,13,4/10
37,Taki Plaza Gardener,Taki Plaza gardener (通称TPG)はTaki Plazaを学生主体で企画・運営し、学生の交流を促す目的で活動している公認学生団体です。メンバー同士の交流も活発で学年や所属を超えた繋がりができます！イベントを企画してみたい人、大学で新しい繋がりが欲しい人にはぴったりな団体です！！,"4/10, 4/11",https://drive.google.com/file/d/1LRFCwB0KRoFRNB_oo7edjkE3Zj94hq3X/view?usp=sharing,https://drive.google.com/file/d/1tlY7mNEKus0oHH2SzdEJuX5z0v58n85r/view?usp=sharing,https://x.com/TPGardener/,https://www.instagram.com/taki_plaza_gardener/,,https://tpgd.jp/,サークルブース,仮タイトル,12,"4/10,4/11"
